endTime,artistName,trackName,msPlayed
3/28/2019 18:15,Lauren Daigle,Trust In You,211600
3/28/2019 18:17,Jenn Johnson,You're Gonna Be OK (Radio Version),154950
3/28/2019 22:07,Jenn Johnson,You're Gonna Be OK (Radio Version),112407
3/28/2019 22:11,Russell Dickerson,Yours,216960
3/28/2019 22:14,Thomas Rhett,Marry Me,205453
3/28/2019 22:20,Brett Young,In Case You Didn't Know,226200
3/28/2019 22:24,Dan + Shay,From the Ground Up - Single Version,254293
3/28/2019 22:27,Brett Eldredge,The Long Way,208720
3/28/2019 22:28,Maren Morris,I Could Use a Love Song,2043
3/28/2019 22:28,Noah Schnacky,Hello Beautiful,46241
3/28/2019 22:33,Dan + Shay,Tequila,1946
3/28/2019 22:33,Brett Young,Mercy,217120
3/29/2019 4:19,Rose Cousins,Never Surrender,239955
3/29/2019 4:23,James Bay,"If I Ain’t Got You - James Bay Spotify Session 2015 ""Alicia Keys Cover""",261120
3/29/2019 4:24,John Mayer,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",33065
3/29/2019 13:50,Adele,Make You Feel My Love,212040
3/29/2019 13:54,Kina Grannis,Iris,181136
3/29/2019 13:56,Jessica Rotter,Stay / Animal Mashup,123944
3/29/2019 15:52,Jessica Rotter,Stay / Animal Mashup,22384
3/29/2019 15:53,Birdy,Skinny Love,42654
3/29/2019 16:10,Ryan Montbleau,Fast Car (feat. Tall Heights),231386
3/30/2019 1:08,Billie Eilish - wish you were gay,Billie Eilish - wish you were gay,7728
3/30/2019 1:12,Khalid,My Bad,136835
3/30/2019 1:15,Mabel,Don't Call Me Up,178480
3/30/2019 1:16,"benny blanco, Tainy, Selena Gomez & J. Balvin - I Can't Get Enough","benny blanco, Tainy, Selena Gomez & J. Balvin - I Can't Get Enough",39808
3/30/2019 3:22,"benny blanco, Tainy, Selena Gomez & J. Balvin - I Can't Get Enough","benny blanco, Tainy, Selena Gomez & J. Balvin - I Can't Get Enough",16832
3/30/2019 15:47,The Chainsmokers,Who Do You Love,226746
3/30/2019 15:51,Billie Eilish,bad guy,194087
3/30/2019 15:55,Alec Benjamin,Let Me Down Slowly,169353
3/30/2019 15:58,Tom Walker,Just You and I,174982
3/30/2019 16:01,Mabel,Don't Call Me Up,178480
3/30/2019 16:05,YUNGBLUD,11 Minutes (with Halsey feat. Travis Barker),239507
3/30/2019 16:10,Kygo,Think About You,208566
3/30/2019 16:13,Gaullin,Moonlight,173066
3/30/2019 16:16,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",158027
3/30/2019 16:19,Summer Walker,Girls Need Love (with Drake) - Remix,222374
3/30/2019 16:25,Hozier,Almost (Sweet Music),217480
3/30/2019 16:28,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),189486
3/30/2019 16:31,Dennis Lloyd,Never Go Back,175424
3/30/2019 16:34,Alan Walker,On My Way,193797
3/30/2019 16:38,Lewis Capaldi,Someone You Loved,182160
3/30/2019 16:42,NAV,Price On My Head (feat. The Weeknd),217775
3/30/2019 16:45,Jonas Brothers,Sucker,181040
3/30/2019 16:48,Sia,No New Friends,175823
3/30/2019 16:53,Kiana Ledé,EX,222386
3/30/2019 16:56,Ava Max,So Am I,184295
3/30/2019 17:01,Logic,Confessions of a Dangerous Mind,284080
3/30/2019 17:03,Billie Eilish,all the good girls go to hell,103333
3/30/2019 17:21,Russell Dickerson,Yours,48917
3/31/2019 21:57,Russell Dickerson,Yours,34017
3/31/2019 23:15,Russell Dickerson,Yours,134098
3/31/2019 23:20,Thomas Rhett,Marry Me,205453
3/31/2019 23:24,Brett Young,In Case You Didn't Know,226200
3/31/2019 23:29,Dan + Shay,From the Ground Up - Single Version,254293
3/31/2019 23:32,Noah Schnacky,Hello Beautiful,216992
3/31/2019 23:37,Cole Swindell,Break Up in the End,199693
3/31/2019 23:41,Michael Ray,Get to You,191546
3/31/2019 23:44,Dan + Shay,Tequila,8153
3/31/2019 23:44,Brett Young,Mercy,217120
3/31/2019 23:48,Brett Eldredge,The Long Way,208720
3/31/2019 23:53,Chase Rice,Eyes On You,182493
3/31/2019 23:56,Matt Stell,Prayed for You,211546
4/1/2019 0:00,Brett Young,Like I Loved You,207186
4/1/2019 0:00,Dan + Shay,Speechless,5052
4/1/2019 0:03,Luke Combs,Beautiful Crazy,193200
4/1/2019 0:07,Maren Morris,I Could Use a Love Song,27941
4/1/2019 0:11,LANCO,Greatest Love Story,222573
4/1/2019 0:14,Florida Georgia Line,H.O.L.Y.,194186
4/1/2019 0:18,Dan + Shay,How Not To,192000
4/1/2019 0:21,Keith Urban,Female,195316
4/1/2019 0:26,Thomas Rhett,Die A Happy Man,227426
4/1/2019 0:29,Kane Brown,Heaven,179506
4/1/2019 0:33,Maddie & Tae,Friends Don't,187996
4/1/2019 0:35,Dan + Shay,All To Myself,169612
4/1/2019 0:38,Keith Urban,Parallel Line,63606
4/1/2019 0:42,Trent Harmon,You Got 'Em All,199366
4/1/2019 5:24,Trent Harmon,You Got 'Em All,14550
4/1/2019 5:29,Scotty McCreery,This Is It,230973
4/1/2019 5:31,Thomas Rhett,Unforgettable,157080
4/1/2019 5:34,Chris Janson,Drunk Girl,177978
4/1/2019 13:47,Chris Janson,Drunk Girl,29309
4/1/2019 13:50,Jimmie Allen,Best Shot,195053
4/1/2019 13:54,Lee Brice,Boy,198973
4/1/2019 13:57,Dylan Schneider,Wannabe,47266
4/1/2019 17:47,Dylan Schneider,Wannabe,74907
4/1/2019 17:49,Kane Brown,What Ifs,95759
4/2/2019 4:04,Lauv,I Like Me Better,197436
4/2/2019 4:07,Nina Nesbitt,Somebody Special,200920
4/2/2019 4:11,5 Seconds of Summer,Youngblood,203417
4/2/2019 4:13,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",174800
4/2/2019 4:16,Selena Gomez,Wolves,16651
4/2/2019 4:58,James TW,Please Keep Loving Me,195920
4/2/2019 5:02,Phil Wickham,Till I Found You,240266
4/2/2019 5:05,Lauv,Never Not,208000
4/2/2019 5:09,Lukas Graham,Love Someone,205440
4/2/2019 5:12,Julia Michaels,What A Time (feat. Niall Horan),173306
4/2/2019 5:20,Calum Scott,No Matter What,131976
4/2/2019 14:05,Calum Scott,No Matter What,104793
4/2/2019 14:09,Isaiah,It's Gotta Be You,193446
4/2/2019 14:13,Dean Lewis,Be Alright,196373
4/2/2019 14:14,Alessia Cara,Out Of Love,100177
4/2/2019 17:20,5 Seconds of Summer,Lie To Me (feat. Julia Michaels),149877
4/2/2019 17:26,Maren Morris,The Bones,197293
4/2/2019 19:40,Charlie Puth,Patient,190533
4/2/2019 19:43,Lauv,There's No Way (feat. Julia Michaels),174860
4/2/2019 19:46,Khalid,Saturday Nights,210666
4/2/2019 19:49,James Bay,Peer Pressure (feat. Julia Michaels),176880
4/2/2019 19:51,MKTO,How Can I Forget,11958
4/2/2019 19:52,MKTO,How Can I Forget,13676
4/2/2019 19:52,Adele,Make You Feel My Love,2391
4/2/2019 19:52,Rose Cousins,Never Surrender,441
4/2/2019 19:52,James Bay,"If I Ain’t Got You - James Bay Spotify Session 2015 ""Alicia Keys Cover""",1602
4/2/2019 19:55,Kina Grannis,Iris,181136
4/2/2019 20:14,Jessica Rotter,Stay / Animal Mashup,252716
4/3/2019 13:49,John Mayer,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",62949
